Date,10Y_Yield
1/3/17,2.45
1/4/17,2.46
1/5/17,2.37
1/6/17,2.42
1/9/17,2.38
1/10/17,2.38
1/11/17,2.38
1/12/17,2.36
1/13/17,2.4
1/16/17,.
1/17/17,2.33
1/18/17,2.42
1/19/17,2.47
1/20/17,2.48
1/23/17,2.41
1/24/17,2.47
1/25/17,2.53
1/26/17,2.51
1/27/17,2.49
1/30/17,2.49
1/31/17,2.45
2/1/17,2.48
2/2/17,2.48
2/3/17,2.49
2/6/17,2.42
2/7/17,2.4
2/8/17,2.34
2/9/17,2.4
2/10/17,2.41
2/13/17,2.43
2/14/17,2.47
2/15/17,2.51
2/16/17,2.45
2/17/17,2.42
2/20/17,.
2/21/17,2.43
2/22/17,2.42
2/23/17,2.38
2/24/17,2.31
2/27/17,2.36
2/28/17,2.36
3/1/17,2.46
3/2/17,2.49
3/3/17,2.49
3/6/17,2.49
3/7/17,2.52
3/8/17,2.57
3/9/17,2.6
3/10/17,2.58
3/13/17,2.62
3/14/17,2.6
3/15/17,2.51
3/16/17,2.53
3/17/17,2.5
3/20/17,2.47
3/21/17,2.43
3/22/17,2.4
3/23/17,2.41
3/24/17,2.4
3/27/17,2.38
3/28/17,2.42
3/29/17,2.39
3/30/17,2.42
3/31/17,2.4
4/3/17,2.35
4/4/17,2.36
4/5/17,2.34
4/6/17,2.34
4/7/17,2.38
4/10/17,2.37
4/11/17,2.32
4/12/17,2.28
4/13/17,2.24
4/14/17,.
4/17/17,2.26
4/18/17,2.18
4/19/17,2.21
4/20/17,2.24
4/21/17,2.24
4/24/17,2.28
4/25/17,2.35
4/26/17,2.32
4/27/17,2.3
4/28/17,2.29
5/1/17,2.33
5/2/17,2.29
5/3/17,2.33
5/4/17,2.36
5/5/17,2.36
5/8/17,2.39
5/9/17,2.42
5/10/17,2.41
5/11/17,2.39
5/12/17,2.33
5/15/17,2.34
5/16/17,2.33
5/17/17,2.22
5/18/17,2.23
5/19/17,2.23
5/22/17,2.25
5/23/17,2.29
5/24/17,2.26
5/25/17,2.25
5/26/17,2.25
5/29/17,.
5/30/17,2.21
5/31/17,2.21
6/1/17,2.21
6/2/17,2.15
6/5/17,2.18
6/6/17,2.14
6/7/17,2.18
6/8/17,2.19
6/9/17,2.21
6/12/17,2.21
6/13/17,2.21
6/14/17,2.15
6/15/17,2.16
6/16/17,2.16
6/19/17,2.19
6/20/17,2.16
6/21/17,2.16
6/22/17,2.15
6/23/17,2.15
6/26/17,2.14
6/27/17,2.21
6/28/17,2.22
6/29/17,2.27
6/30/17,2.31
7/3/17,2.35
7/4/17,.
7/5/17,2.33
7/6/17,2.37
7/7/17,2.39
7/10/17,2.38
7/11/17,2.37
7/12/17,2.33
7/13/17,2.35
7/14/17,2.33
7/17/17,2.31
7/18/17,2.27
7/19/17,2.27
7/20/17,2.27
7/21/17,2.24
7/24/17,2.26
7/25/17,2.33
7/26/17,2.29
7/27/17,2.32
7/28/17,2.3
7/31/17,2.3
8/1/17,2.26
8/2/17,2.27
8/3/17,2.24
8/4/17,2.27
8/7/17,2.26
8/8/17,2.29
8/9/17,2.24
8/10/17,2.2
8/11/17,2.19
8/14/17,2.22
8/15/17,2.27
8/16/17,2.23
8/17/17,2.19
8/18/17,2.19
8/21/17,2.18
8/22/17,2.22
8/23/17,2.17
8/24/17,2.19
8/25/17,2.17
8/28/17,2.16
8/29/17,2.13
8/30/17,2.15
8/31/17,2.12
