DATE,BAMLH0A0HYM2
1/9/17,4.02
1/10/17,4
1/11/17,4.03
1/12/17,4.05
1/13/17,4.02
1/16/17,4
1/17/17,4.06
1/18/17,4.01
1/19/17,3.99
1/20/17,4.02
1/23/17,4.1
1/24/17,4.02
1/25/17,3.93
1/26/17,3.93
1/27/17,3.93
1/30/17,3.96
1/31/17,4
2/1/17,3.95
2/2/17,3.93
2/3/17,3.86
2/6/17,3.91
2/7/17,3.93
2/8/17,3.98
2/9/17,3.93
2/10/17,3.9
2/13/17,3.86
2/14/17,3.8
2/15/17,3.77
2/16/17,3.83
2/17/17,3.86
2/20/17,3.86
2/21/17,3.81
2/22/17,3.78
2/23/17,3.77
2/24/17,3.84
2/27/17,3.75
2/28/17,3.74
3/1/17,3.57
3/2/17,3.55
3/3/17,3.6
3/6/17,3.66
3/7/17,3.73
3/8/17,3.79
3/9/17,3.88
3/10/17,3.89
3/13/17,3.94
3/14/17,4.05
3/15/17,4.02
3/16/17,3.88
3/17/17,3.91
3/20/17,3.97
3/21/17,4.04
3/22/17,4.16
3/23/17,4.11
3/24/17,4.07
3/27/17,4.12
3/28/17,4.01
3/29/17,3.94
3/30/17,3.85
3/31/17,3.92
4/3/17,3.98
4/4/17,3.98
4/5/17,3.91
4/6/17,3.93
4/7/17,3.86
4/10/17,3.86
4/11/17,3.94
4/12/17,3.96
4/13/17,4.03
4/14/17,.
4/17/17,4
4/18/17,4.07
4/19/17,4.01
4/20/17,3.98
4/21/17,3.97
4/24/17,3.86
4/25/17,3.78
4/26/17,3.76
4/27/17,3.78
4/28/17,3.75
4/30/17,3.81
5/1/17,3.78
5/2/17,3.79
5/3/17,3.76
5/4/17,3.8
5/5/17,3.82
5/8/17,3.8
5/9/17,3.74
5/10/17,3.72
5/11/17,3.72
5/12/17,3.77
5/15/17,3.72
5/16/17,3.71
5/17/17,3.84
5/18/17,3.85
5/19/17,3.78
5/22/17,3.72
5/23/17,3.67
5/24/17,3.68
5/25/17,3.67
5/26/17,3.67
5/29/17,3.67
5/30/17,3.68
5/31/17,3.74
6/1/17,3.69
6/2/17,3.69
6/5/17,3.68
6/6/17,3.72
6/7/17,3.73
6/8/17,3.76
6/9/17,3.73
6/12/17,3.71
6/13/17,3.68
6/14/17,3.7
6/15/17,3.72
6/16/17,3.76
6/19/17,3.7
6/20/17,3.77
6/21/17,3.85
6/22/17,3.87
6/23/17,3.86
6/26/17,3.83
6/27/17,3.77
6/28/17,3.77
6/29/17,3.76
6/30/17,3.77
7/3/17,3.72
7/4/17,3.72
7/5/17,3.73
7/6/17,3.78
7/7/17,3.83
7/10/17,3.83
7/11/17,3.85
7/12/17,3.81
7/13/17,3.77
7/14/17,3.73
7/17/17,3.69
7/18/17,3.69
7/19/17,3.64
7/20/17,3.61
7/21/17,3.64
7/24/17,3.63
7/25/17,3.55
7/26/17,3.56
7/27/17,3.55
7/28/17,3.59
7/31/17,3.61
8/1/17,3.6
8/2/17,3.59
8/3/17,3.63
8/4/17,3.63
8/7/17,3.64
8/8/17,3.64
8/9/17,3.81
8/10/17,3.92
8/11/17,4
8/14/17,3.89
8/15/17,3.87
8/16/17,3.88
8/17/17,3.93
8/18/17,3.98
8/21/17,4
8/22/17,3.93
8/23/17,3.95
8/24/17,3.91
8/25/17,3.89
8/28/17,3.88
8/29/17,3.9
8/30/17,3.86
8/31/17,3.85
9/1/17,3.82
9/4/17,3.82
9/5/17,3.91
9/6/17,3.84
9/7/17,3.88
9/8/17,3.92
9/11/17,3.85
9/12/17,3.81
9/13/17,3.78
9/14/17,3.74
9/15/17,3.73
9/18/17,3.68
9/19/17,3.66
9/20/17,3.6
9/21/17,3.62
9/22/17,3.64
9/25/17,3.66
9/26/17,3.62
9/27/17,3.57
9/28/17,3.57
9/29/17,3.54
9/30/17,3.56
