Date,T10Y2Y
1/3/17,1.23
1/4/17,1.22
1/5/17,1.2
1/6/17,1.2
1/9/17,1.17
1/10/17,1.19
1/11/17,1.18
1/12/17,1.18
1/13/17,1.19
1/16/17,.
1/17/17,1.16
1/18/17,1.19
1/19/17,1.22
1/20/17,1.28
1/23/17,1.25
1/24/17,1.26
1/25/17,1.3
1/26/17,1.3
1/27/17,1.27
1/30/17,1.27
1/31/17,1.26
2/1/17,1.26
2/2/17,1.27
2/3/17,1.28
2/6/17,1.26
2/7/17,1.24
2/8/17,1.19
2/9/17,1.2
2/10/17,1.21
2/13/17,1.23
2/14/17,1.22
2/15/17,1.24
2/16/17,1.23
2/17/17,1.21
2/20/17,.
2/21/17,1.21
2/22/17,1.2
2/23/17,1.2
2/24/17,1.19
2/27/17,1.16
2/28/17,1.14
3/1/17,1.17
3/2/17,1.17
3/3/17,1.17
3/6/17,1.18
3/7/17,1.2
3/8/17,1.21
3/9/17,1.23
3/10/17,1.22
3/13/17,1.22
3/14/17,1.2
3/15/17,1.18
3/16/17,1.18
3/17/17,1.17
3/20/17,1.17
3/21/17,1.16
3/22/17,1.13
3/23/17,1.15
3/24/17,1.14
3/27/17,1.11
3/28/17,1.12
3/29/17,1.13
3/30/17,1.14
3/31/17,1.13
4/3/17,1.11
4/4/17,1.11
4/5/17,1.1
4/6/17,1.1
4/7/17,1.09
4/10/17,1.08
4/11/17,1.08
4/12/17,1.04
4/13/17,1.03
4/14/17,.
4/17/17,1.05
4/18/17,1
4/19/17,1.02
4/20/17,1.03
4/21/17,1.04
4/24/17,1.03
4/25/17,1.06
4/26/17,1.04
4/27/17,1.05
4/28/17,1.01
5/1/17,1.05
5/2/17,1.02
5/3/17,1.03
5/4/17,1.04
5/5/17,1.04
5/8/17,1.06
5/9/17,1.05
5/10/17,1.06
5/11/17,1.04
5/12/17,1.04
5/15/17,1.03
5/16/17,1.04
5/17/17,0.96
5/18/17,0.96
5/19/17,0.95
5/22/17,0.96
5/23/17,0.98
5/24/17,0.97
5/25/17,0.95
5/26/17,0.95
5/29/17,.
5/30/17,0.93
5/31/17,0.93
6/1/17,0.93
6/2/17,0.87
6/5/17,0.86
6/6/17,0.84
6/7/17,0.86
6/8/17,0.86
6/9/17,0.86
6/12/17,0.86
6/13/17,0.83
6/14/17,0.8
6/15/17,0.81
6/16/17,0.84
6/19/17,0.83
6/20/17,0.8
6/21/17,0.8
6/22/17,0.81
6/23/17,0.81
6/26/17,0.78
6/27/17,0.83
6/28/17,0.88
6/29/17,0.89
6/30/17,0.93
7/3/17,0.94
7/4/17,.
7/5/17,0.92
7/6/17,0.97
7/7/17,0.99
7/10/17,0.98
7/11/17,1
7/12/17,0.98
7/13/17,0.98
7/14/17,0.98
7/17/17,0.95
7/18/17,0.91
7/19/17,0.9
7/20/17,0.9
7/21/17,0.88
7/24/17,0.89
7/25/17,0.93
7/26/17,0.93
7/27/17,0.96
7/28/17,0.96
7/31/17,0.96
8/1/17,0.92
8/2/17,0.91
8/3/17,0.9
8/4/17,0.91
8/7/17,0.9
8/8/17,0.93
8/9/17,0.91
8/10/17,0.87
8/11/17,0.89
8/14/17,0.89
8/15/17,0.92
8/16/17,0.9
8/17/17,0.87
8/18/17,0.86
8/21/17,0.86
8/22/17,0.89
8/23/17,0.85
8/24/17,0.86
8/25/17,0.82
8/28/17,0.83
8/29/17,0.8
8/30/17,0.82
8/31/17,0.79
9/1/17,0.81
9/4/17,.
9/5/17,0.77
9/6/17,0.8
9/7/17,0.78
9/8/17,0.79
9/11/17,0.82
9/12/17,0.84
9/13/17,0.85
9/14/17,0.83
9/15/17,0.81
9/18/17,0.83
9/19/17,0.84
9/20/17,0.83
9/21/17,0.82
9/22/17,0.8
9/25/17,0.78
9/26/17,0.79
9/27/17,0.84
9/28/17,0.86
9/29/17,0.86
10/2/17,0.85
10/3/17,0.86
10/4/17,0.86
10/5/17,0.86
10/6/17,0.83
10/9/17,.
10/10/17,0.84
10/11/17,0.84
10/12/17,0.82
10/13/17,0.77
10/16/17,0.76
10/17/17,0.76
10/18/17,0.75
10/19/17,0.75
10/20/17,0.79
10/23/17,0.8
10/24/17,0.82
10/25/17,0.83
10/26/17,0.83
10/27/17,0.83
10/30/17,0.79
10/31/17,0.78
11/1/17,0.76
11/2/17,0.74
11/3/17,0.71
11/6/17,0.71
11/7/17,0.69
11/8/17,0.67
11/9/17,0.7
11/10/17,0.73
11/13/17,0.7
11/14/17,0.7
11/15/17,0.65
11/16/17,0.65
11/17/17,0.62
11/20/17,0.6
11/21/17,0.59
11/22/17,0.58
11/23/17,.
11/24/17,0.59
11/27/17,0.58
11/28/17,0.59
11/29/17,0.59
11/30/17,0.64
12/1/17,0.59
12/4/17,0.57
12/5/17,0.53
12/6/17,0.55
12/7/17,0.57
12/8/17,0.58
12/11/17,0.57
12/12/17,0.57
12/13/17,0.57
12/14/17,0.53
12/15/17,0.51
12/18/17,0.55
12/19/17,0.59
12/20/17,0.62
12/21/17,0.59
12/22/17,0.57
12/25/17,.
12/26/17,0.55
12/27/17,0.53
12/28/17,0.52
12/29/17,0.51
1/1/18,.
1/2/18,0.54
1/3/18,0.5
1/4/18,0.5
1/5/18,0.51
1/8/18,0.53
1/9/18,0.57
1/10/18,0.57
1/11/18,0.56
1/12/18,0.56
1/15/18,.
1/16/18,0.51
1/17/18,0.52
1/18/18,0.57
1/19/18,0.58
1/22/18,0.58
1/23/18,0.57
1/24/18,0.57
1/25/18,0.55
1/26/18,0.53
1/29/18,0.59
1/30/18,0.6
1/31/18,0.58
2/1/18,0.62
2/2/18,0.69
2/5/18,0.69
2/6/18,0.69
2/7/18,0.69
2/8/18,0.72
2/9/18,0.78
2/12/18,0.77
2/13/18,0.73
2/14/18,0.74
2/15/18,0.71
2/16/18,0.66
2/19/18,.
2/20/18,0.63
2/21/18,0.68
2/22/18,0.67
2/23/18,0.63
2/26/18,0.64
2/27/18,0.63
2/28/18,0.62
3/1/18,0.59
3/2/18,0.61
3/5/18,0.64
3/6/18,0.63
3/7/18,0.64
3/8/18,0.61
3/9/18,0.63
3/12/18,0.6
3/13/18,0.58
3/14/18,0.55
3/15/18,0.53
3/16/18,0.54
3/19/18,0.54
3/20/18,0.55
3/21/18,0.58
3/22/18,0.54
3/23/18,0.54
3/26/18,0.52
3/27/18,0.52
3/28/18,0.49
3/29/18,0.47
3/30/18,.
4/2/18,0.48
4/3/18,0.51
4/4/18,0.51
4/5/18,0.53
4/6/18,0.5
4/9/18,0.49
4/10/18,0.48
4/11/18,0.47
4/12/18,0.49
4/13/18,0.45
4/16/18,0.44
4/17/18,0.41
4/18/18,0.45
4/19/18,0.48
4/20/18,0.5
4/23/18,0.49
4/24/18,0.52
4/25/18,0.54
4/26/18,0.51
4/27/18,0.47
4/30/18,0.46
5/1/18,0.47
5/2/18,0.48
5/3/18,0.45
5/4/18,0.44
5/7/18,0.46
5/8/18,0.46
5/9/18,0.46
5/10/18,0.43
5/11/18,0.43
5/14/18,0.45
5/15/18,0.5
5/16/18,0.51
5/17/18,0.54
5/18/18,0.51
5/21/18,0.48
5/22/18,0.47
5/23/18,0.48
5/24/18,0.48
5/25/18,0.45
5/28/18,.
5/29/18,0.45
5/30/18,0.42
5/31/18,0.43
6/1/18,0.42
6/4/18,0.42
6/5/18,0.43
6/6/18,0.45
6/7/18,0.43
6/8/18,0.43
6/11/18,0.44
6/12/18,0.42
6/13/18,0.39
6/14/18,0.35
6/15/18,0.38
6/18/18,0.36
6/19/18,0.35
6/20/18,0.37
