Date,TEDSPREAD
1/13/17,0.5
1/16/17,.
1/17/17,0.48
1/18/17,0.51
1/19/17,0.53
1/20/17,0.55
1/23/17,0.53
1/24/17,0.53
1/25/17,0.55
1/26/17,0.54
1/27/17,0.53
1/30/17,0.52
1/31/17,0.51
2/1/17,0.53
2/2/17,0.52
2/3/17,0.53
2/6/17,0.51
2/7/17,0.51
2/8/17,0.5
2/9/17,0.5
2/10/17,0.5
2/13/17,0.52
2/14/17,0.5
2/15/17,0.51
2/16/17,0.54
2/17/17,0.53
2/20/17,.
2/21/17,0.52
2/22/17,0.53
2/23/17,0.54
2/24/17,0.54
2/27/17,0.55
2/28/17,0.53
3/1/17,0.47
3/2/17,0.44
3/3/17,0.4
3/6/17,0.38
3/7/17,0.36
3/8/17,0.39
3/9/17,0.4
3/10/17,0.39
3/13/17,0.35
3/14/17,0.37
3/15/17,0.43
3/16/17,0.43
3/17/17,0.43
3/20/17,0.41
3/21/17,0.4
3/22/17,0.4
3/23/17,0.4
3/24/17,0.38
3/27/17,0.38
3/28/17,0.38
3/29/17,0.38
3/30/17,0.38
3/31/17,0.4
4/3/17,0.37
4/4/17,0.37
4/5/17,0.36
4/6/17,0.38
4/7/17,0.35
4/10/17,0.35
4/11/17,0.35
4/12/17,0.36
4/13/17,0.36
4/14/17,.
4/17/17,.
4/18/17,0.35
4/19/17,0.36
4/20/17,0.37
4/21/17,0.38
4/24/17,0.37
4/25/17,0.36
4/26/17,0.35
4/27/17,0.37
4/28/17,0.38
5/1/17,.
5/2/17,0.36
5/3/17,0.33
5/4/17,0.34
5/5/17,0.3
5/8/17,0.28
5/9/17,0.28
5/10/17,0.29
5/11/17,0.31
5/12/17,0.32
5/15/17,0.29
5/16/17,0.29
5/17/17,0.29
5/18/17,0.26
5/19/17,0.29
5/22/17,0.27
5/23/17,0.28
5/24/17,0.28
5/25/17,0.28
5/26/17,0.28
5/29/17,.
5/30/17,0.28
5/31/17,0.25
6/1/17,0.26
6/2/17,0.26
6/5/17,0.27
6/6/17,0.26
6/7/17,0.24
6/8/17,0.24
6/9/17,0.25
6/12/17,0.27
6/13/17,0.26
6/14/17,0.26
6/15/17,0.27
6/16/17,0.26
6/19/17,0.27
6/20/17,0.29
6/21/17,0.32
6/22/17,0.36
6/23/17,0.34
6/26/17,0.31
6/27/17,0.31
6/28/17,0.3
6/29/17,0.28
6/30/17,0.29
7/3/17,0.26
7/4/17,.
7/5/17,0.27
7/6/17,0.28
7/7/17,0.28
7/10/17,0.27
7/11/17,0.27
7/12/17,0.27
7/13/17,0.27
7/14/17,0.28
7/17/17,0.26
7/18/17,0.26
7/19/17,0.22
7/20/17,0.18
7/21/17,0.17
7/24/17,0.16
7/25/17,0.16
7/26/17,0.2
7/27/17,0.22
7/28/17,0.25
7/31/17,0.26
8/1/17,0.25
8/2/17,0.25
8/3/17,0.25
8/4/17,0.25
8/7/17,0.3
8/8/17,0.27
8/9/17,0.27
8/10/17,0.28
8/11/17,0.3
8/14/17,0.3
8/15/17,0.29
8/16/17,0.32
8/17/17,0.34
8/18/17,0.31
8/21/17,0.32
8/22/17,0.33
8/23/17,0.34
8/24/17,0.32
8/25/17,0.31
8/28/17,.
8/29/17,0.31
8/30/17,0.31
8/31/17,0.33
9/1/17,0.32
9/4/17,.
9/5/17,0.31
9/6/17,0.27
9/7/17,0.29
9/8/17,0.29
9/11/17,0.28
9/12/17,0.3
9/13/17,0.3
9/14/17,0.29
9/15/17,0.29
9/18/17,0.28
9/19/17,0.3
9/20/17,0.3
9/21/17,0.31
9/22/17,0.32
9/25/17,0.29
9/26/17,0.28
9/27/17,0.28
9/28/17,0.29
9/29/17,0.29
10/2/17,0.34
10/3/17,0.29
10/4/17,0.29
10/5/17,0.3
10/6/17,0.3
10/9/17,.
10/10/17,0.3
10/11/17,0.28
10/12/17,0.29
10/13/17,0.28
10/16/17,0.26
10/17/17,0.29
10/18/17,0.29
10/19/17,0.28
10/20/17,0.27
10/23/17,0.29
10/24/17,0.27
10/25/17,0.27
10/26/17,0.29
10/27/17,0.3
10/30/17,0.28
10/31/17,0.25
11/1/17,0.22
11/2/17,0.24
11/3/17,0.23
11/6/17,0.23
11/7/17,0.2
11/8/17,0.2
11/9/17,0.19
11/10/17,0.2
11/13/17,0.2
11/14/17,0.18
11/15/17,0.19
11/16/17,0.19
11/17/17,0.18
11/20/17,0.17
11/21/17,0.17
11/22/17,0.19
11/23/17,.
11/24/17,0.21
11/27/17,0.23
11/28/17,0.2
11/29/17,0.21
11/30/17,0.24
12/1/17,0.24
12/4/17,0.23
12/5/17,0.24
12/6/17,0.24
12/7/17,0.27
12/8/17,0.29
12/11/17,0.25
12/12/17,0.25
12/13/17,0.31
12/14/17,0.3
12/15/17,0.32
12/18/17,0.27
12/19/17,0.29
12/20/17,0.3
12/21/17,0.34
12/22/17,0.38
12/25/17,.
12/26/17,.
12/27/17,0.27
12/28/17,0.32
12/29/17,0.32
1/1/18,.
1/2/18,0.28
1/3/18,0.31
1/4/18,0.31
1/5/18,0.33
1/8/18,0.28
1/9/18,0.28
1/10/18,0.31
1/11/18,0.31
1/12/18,0.31
1/15/18,.
1/16/18,0.3
1/17/18,0.32
1/18/18,0.31
1/19/18,0.32
1/22/18,0.31
1/23/18,0.33
1/24/18,0.34
1/25/18,0.36
1/26/18,0.38
1/29/18,0.34
1/30/18,0.35
1/31/18,0.34
2/1/18,0.33
2/2/18,0.33
2/5/18,0.3
2/6/18,0.29
2/7/18,0.27
2/8/18,0.28
2/9/18,0.29
2/12/18,0.22
2/13/18,0.27
2/14/18,0.29
2/15/18,0.31
2/16/18,0.29
2/19/18,.
2/20/18,0.26
2/21/18,0.3
2/22/18,0.33
2/23/18,0.35
2/26/18,0.33
2/27/18,0.37
2/28/18,0.39
3/1/18,0.42
3/2/18,0.41
3/5/18,0.36
3/6/18,0.4
3/7/18,0.41
3/8/18,0.43
3/9/18,0.45
3/12/18,0.43
3/13/18,0.42
3/14/18,0.42
3/15/18,0.44
3/16/18,0.45
3/19/18,0.45
3/20/18,0.47
3/21/18,0.56
3/22/18,0.6
3/23/18,0.58
3/26/18,0.53
3/27/18,0.56
3/28/18,0.61
3/29/18,0.61
3/30/18,.
4/2/18,.
4/3/18,0.6
4/4/18,0.64
4/5/18,0.64
4/6/18,0.64
4/9/18,0.61
4/10/18,0.63
4/11/18,0.64
4/12/18,0.63
4/13/18,0.62
4/16/18,0.6
4/17/18,0.59
4/18/18,0.58
4/19/18,0.57
4/20/18,0.58
4/23/18,0.52
4/24/18,0.52
4/25/18,0.55
4/26/18,0.57
4/27/18,0.58
4/30/18,0.52
5/1/18,0.53
5/2/18,0.55
5/3/18,0.56
5/4/18,0.57
5/7/18,.
5/8/18,0.51
5/9/18,0.51
5/10/18,0.49
5/11/18,0.46
5/14/18,0.43
5/15/18,0.43
5/16/18,0.45
5/17/18,0.45
5/18/18,0.46
5/21/18,0.43
5/22/18,0.43
5/23/18,0.45
5/24/18,0.45
5/25/18,0.46
5/28/18,.
5/29/18,0.41
5/30/18,0.4
5/31/18,0.43
6/1/18,0.44
6/4/18,0.4
6/5/18,0.41
6/6/18,0.41
6/7/18,0.43
6/8/18,0.44
6/11/18,0.42
6/12/18,0.45
6/13/18,0.44
6/14/18,0.43
6/15/18,0.43
6/18/18,0.41
6/19/18,0.42
6/20/18,0.43
6/21/18,0.44
6/22/18,0.45
6/25/18,0.44
6/26/18,0.44
6/27/18,0.44
6/28/18,0.45
6/29/18,0.45
7/2/18,0.39
7/3/18,0.4
7/4/18,.
7/5/18,0.42
7/6/18,0.4
7/9/18,0.38
7/10/18,0.39
7/11/18,0.41
7/12/18,0.4
7/13/18,0.4
7/16/18,0.35
7/17/18,0.36
7/18/18,0.39
7/19/18,0.39
7/20/18,0.39
7/23/18,0.38
7/24/18,0.35
7/25/18,0.37
7/26/18,0.39
7/27/18,0.38
7/30/18,0.33
7/31/18,0.36
8/1/18,0.36
8/2/18,0.36
8/3/18,0.37
8/6/18,0.32
8/7/18,0.32
8/8/18,0.32
8/9/18,0.32
8/10/18,0.31
8/13/18,0.28
8/14/18,0.28
8/15/18,0.28
8/16/18,0.29
8/17/18,0.3
8/20/18,0.28
8/21/18,0.27
8/22/18,0.26
8/23/18,0.27
8/24/18,0.27
8/27/18,.
8/28/18,0.22
8/29/18,0.22
8/30/18,0.25
8/31/18,0.25
9/3/18,.
9/4/18,0.23
9/5/18,0.22
9/6/18,0.24
9/7/18,0.23
9/10/18,0.22
9/11/18,0.22
9/12/18,0.21
9/13/18,0.22
9/14/18,0.22
9/17/18,0.21
9/18/18,0.21
9/19/18,0.23
9/20/18,0.24
9/21/18,0.23
9/24/18,0.19
9/25/18,0.21
9/26/18,0.23
9/27/18,0.26
9/28/18,0.25
10/1/18,0.21
10/2/18,0.22
10/3/18,0.22
10/4/18,0.23
10/5/18,0.23
10/8/18,.
10/9/18,0.21
10/10/18,0.2
10/11/18,0.22
10/12/18,0.21
10/15/18,0.18
10/16/18,0.18
10/17/18,0.18
10/18/18,0.2
10/19/18,0.22
10/22/18,0.19
10/23/18,0.2
10/24/18,0.22
10/25/18,0.22
10/26/18,0.24
10/29/18,0.23
10/30/18,0.25
10/31/18,0.27
11/1/18,0.31
11/2/18,0.31
