Date,SPY Close,Daily Returns,Cumulative Returns,VIX Close,SPX 1M 25DP Vol BVOL INDEX,SPX 1M 25DC Vol BVOL INDEX,SPX 1M 100 Vol BVOL INDEX,P/C Ratio,P/C Spread,P/ATM Ratio,P/ATM Spread,ATM/C Ratio,ATM/C Spread,FICC_Spread,TEDSPREAD,Gold_Close,Delta_10Y2Y,10Y_Yield
2017-01-23,212.4071807861328,-0.0026022746455520718,-0.0026022746455520718,11.770000457763672,11.4007,7.7258,8.8658,1.48,3.67,1.29,2.53,1.15,1.14,4.1,0.53,1213.75,1.25,2.41
2017-01-24,213.7691192626953,0.006411922946869764,0.0037929627168038493,11.069999694824219,11.2947,7.9025,8.9462,1.43,3.39,1.26,2.35,1.13,1.04,4.02,0.53,1213.3,1.26,2.47
2017-01-25,215.61940002441406,0.008655510057301585,0.012481302801047756,10.8100004196167,11.197000000000001,7.5949,8.6727,1.47,3.6,1.29,2.52,1.14,1.08,3.93,0.55,1203.5,1.3,2.53
2017-01-26,215.39401245117188,-0.001045302849449814,0.011422953210215248,10.630000114440918,11.3364,7.787999999999999,8.8915,1.46,3.55,1.27,2.44,1.14,1.1,3.93,0.54,1191.55,1.3,2.51
2017-01-27,215.05587768554688,-0.0015698429207805509,0.009835178047203241,10.579999923706055,10.1858,7.2431,8.0267,1.41,2.94,1.27,2.16,1.11,0.78,3.93,0.53,1184.2,1.27,2.49
2017-01-30,213.72215270996094,-0.006201760165495673,0.0035724224662738724,11.880000114440918,10.3585,7.3158,8.1904,1.42,3.04,1.26,2.17,1.12,0.87,3.96,0.52,1189.85,1.27,2.49
2017-01-31,213.70339965820312,-8.77450068700325e-05,0.0034843639971700036,11.989999771118164,10.6658,7.292999999999999,8.356,1.46,3.37,1.28,2.31,1.15,1.06,4.0,0.51,1198.8,1.26,2.45
2017-02-01,213.78790283203125,0.00039542269314973844,0.003881164486915445,11.8100004196167,10.7674,7.3577,8.4617,1.46,3.41,1.27,2.31,1.15,1.1,3.95,0.53,1210.0,1.26,2.48
2017-02-02,213.92877197265625,0.000658920073394853,0.004542641937498981,11.930000305175781,10.4644,7.4718,8.3464,1.4,2.99,1.25,2.12,1.12,0.87,3.93,0.52,1224.05,1.27,2.48
2017-02-03,215.4033966064453,0.0068930636126753875,0.01146701827001917,10.970000267028809,10.1513,7.5797,8.2781,1.34,2.57,1.23,1.87,1.09,0.7,3.86,0.53,1213.05,1.28,2.49
2017-02-06,215.01829528808594,-0.0017878145118712663,0.009658702856476964,11.369999885559082,9.8723,7.6524,8.1388,1.29,2.22,1.21,1.73,1.06,0.49,3.91,0.51,1221.85,1.26,2.42
