SP500 Compound,SP500 Negative,SP500 Neutral,SP500 Positive,SP500 Text,Cramer Compound,Cramer Negative,Cramer Neutral,Cramer Positive,Cramer Text,Trump Compound,Trump Negative,Trump Neutral,Trump Positive,Trump Text,Dimon Compound,Dimon Negative,Dimon Neutral,Dimon Positive,Dimon Text,Blankfein Compound,Blankfein Negative,Blankfein Neutral,Blankfein Positive,Blankfein Text,Solomon Compound,Solomon Negative,Solomon Neutral,Solomon Positive,Solomon Text,Corbat Compound,Corbat Negative,Corbat Neutral,Corbat Positive,Corbat Text,Lead economists Compound,Lead economists Negative,Lead economists Neutral,Lead economists Positive,Lead economists Text,Powell Compound,Powell Negative,Powell Neutral,Powell Positive,Powell Text,FED Compound,FED Negative,FED Neutral,FED Positive,FED Text,Fink Compound,Fink Negative,Fink Neutral,Fink Positive,Fink Text
-0.0772,0.029,0.971,0.0,"etf overview
ishares msci emerging markets etf (nysearca:eem) focuses on stocks in the emerging markets. the etf tracks the msci emerging markets index which includes about 1,000 stocks. the fund has a high exposure to china and is also exposed to foreign ex… [+5474 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.9398,0.234,0.766,0.0,"we hate to say this but, we told you so. on february 27th we published an article with the title recession is imminent: we need a travel ban now and predicted a us recession when the s&amp;p 500 index was trading at the 3150 level. we also told you to short t… [+6841 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3612,0.132,0.784,0.084,"coronavirus and the associated economic downturn hit the share market hard. the s&amp;p/asx 200 (asx: xjo) is down 25% from its february highs, and hit a low of 4,546 in march. but the impacts have not been uniform. although many asx shares are suffering, som… [+7393 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4939,0.151,0.783,0.066,"new york (reuters) - asian stocks were set for a modest bounce on tuesday as u.s. stock futures edged higher, although fears the coronavirus could drag on the global economy for months are likely to temper investor confidence. 
e-mini futures for the s&amp;p… [+2747 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4939,0.151,0.783,0.066,"new york (reuters) - asian stocks were set for a modest bounce on tuesday as u.s. stock futures edged higher, although fears the coronavirus could drag on the global economy for months are likely to temper investor confidence. 
e-mini futures for the s&amp;p… [+2792 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5106,0.083,0.769,0.148,"<ul><li>gold prices jump to fresh seven-year highs and hold the fort in the 1720s in asia. </li><li>usd/jpy moving to fresh lows, supporting gold higher as us dollar slides. </li></ul>the us dollar was soft on monday and with the uncertainty pertaining to cov… [+1462 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4939,0.148,0.787,0.065,"new york: asian stocks were set for a modest bounce on tuesday as u.s. stock futures edged higher, although fears the coronavirus could drag on the global economy for months are likely to temper investor confidence.
e-mini futures for the s&amp;p 500 nudged … [+2844 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4939,0.151,0.783,0.066,"new york (reuters) - asian stocks were set for a modest bounce on tuesday as u.s. stock futures edged higher, although fears the coronavirus could drag on the global economy for months are likely to temper investor confidence.
e-mini futures for the s&amp;p … [+2849 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4939,0.151,0.783,0.066,"new york (reuters) - asian stocks were set for a modest bounce on tuesday as u.s. stock futures edged higher, although fears the coronavirus could drag on the global economy for months are likely to temper investor confidence.
e-mini futures for the s&amp;p … [+2849 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"this article is part of a series tracking the effects of the covid-19 pandemic on major businesses, and will be updated. it was originally published on april 13.as covid-19 turns the global economy upside down, many corporations are rethinking their tech spen… [+4872 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3612,0.0,0.925,0.075,"dow jones futures were higher late monday, along with s&amp;p 500 futures and nasdaq futures, after monday's mixed stock market action. six top stocks at or near buy points in the coronavirus stock market rally are amazon stock, domino's pizza stock, inphi st… [+8374 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1779,0.153,0.707,0.14,"oppenheimer asset management's john stoltzfus is looking to add stocks to his portfolio this earnings season   about two months after warning investors there was no escape from the coronavirus fallout.
""it's going to show us winners and losers within the sec… [+1904 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
