Date,SP500 Compound,SP500 Negative,SP500 Neutral,SP500 Positive,SP500 Text,Cramer Compound,Cramer Negative,Cramer Neutral,Cramer Positive,Cramer Text,Trump Compound,Trump Negative,Trump Neutral,Trump Positive,Trump Text,Dimon Compound,Dimon Negative,Dimon Neutral,Dimon Positive,Dimon Text,Blankfein Compound,Blankfein Negative,Blankfein Neutral,Blankfein Positive,Blankfein Text,Solomon Compound,Solomon Negative,Solomon Neutral,Solomon Positive,Solomon Text,Corbat Compound,Corbat Negative,Corbat Neutral,Corbat Positive,Corbat Text,Lead economists Compound,Lead economists Negative,Lead economists Neutral,Lead economists Positive,Lead economists Text,Powell Compound,Powell Negative,Powell Neutral,Powell Positive,Powell Text,FED Compound,FED Negative,FED Neutral,FED Positive,FED Text,Fink Compound,Fink Negative,Fink Neutral,Fink Positive,Fink Text
2020-04-14 15:55:21,-0.1779,0.045,0.955,0.0,"the parnassus endeavor fund (trades, portfolio) released its first-quarter portfolio earlier this week, listing three new holdings.
the fund, which is part of jerome dodson (trades, portfolio)s san francisco-based parnassus investments, avoids investing in f… [+6591 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:43:51,0.3182,0.0,0.953,0.047,"looking at the chart below, it’s fair to say that bitcoin has been on a rollercoaster over the past week. after trading as high as $7,470 last week, the cryptocurrency plunged, first to $6,900, then to $6,550 in a second wave. from the highs, btc was down 13%… [+2803 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:40:28,0.1027,0.049,0.892,0.059,"stock futures, premarket data and performance insights for major indexes like s&amp;p 500, nasdaq, and dow jones
one email, every morning before the markets open
get informed and decide if its time to
 buy high and sell low 
see sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:40:27,0.6908,0.0,0.872,0.128,"tuesday morning brought some relief for investors, as major benchmarks gained ground even though the beginning of earnings season didn't exactly go according to plan. big banking institutions were among the first to announce their first-quarter results, and d… [+3359 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:29:43,0.0,0.0,1.0,0.0,"its been a rough couple of months for all investors, as the dow jones industrial average
 djia, 
 +1.71%
and s&amp;p 500
 spx, 
 +2.11%
and nasdaq composite
 comp, 
 +2.90%
indexes plunged more than 30% from their all-time highs before bouncing back … [+4851 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:29:14,-0.4854,0.146,0.784,0.07,"watching the bull market turn into a bear market was hard enough, but to imagine that stocks have now recovered half of all their losses is becoming equally as difficult to justify. endless trillions in bailouts and some glimmer of hope that the u.s. news flo… [+3487 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:24:40,0.0533,0.098,0.766,0.136,"it has been a long time since the u.s. economy was in a recession. so dont feel bad if this one caught you by surprise. yes, it may not be official yet, but we are at the beginning of a recession. how financially prepared are you?
get the entire 10-part seri… [+11647 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:24:23,0.0,0.0,1.0,0.0,"boeing co.
 ba, 
 -1.40%
said tuesday it delivered 50 commercial airplanes in the first quarter, compared with 149 commercial aircraft in the first quarter of 2019 and expectations of 60, according to analysts polled by factset. boeing has been under press… [+706 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:23:33,0.0,0.0,1.0,0.0,"stocks rose tuesday as investors considered signs that states were beginning to plan for reopening parts of the economy, and braced for a choppy earnings season, as the coronavirus pandemic swept the country at the end of the first quarter.federal and state o… [+11199 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:20:32,-0.6705,0.126,0.874,0.0,"new delhi: concerns over mounting covid-19 cases weakened sentiment on monday as investors braced for more signs of economic damage from the coronavirus pandemic.
the equity benchmarks slipped after a few state governments extended the lockdown till the end … [+5210 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:20:01,-0.0772,0.087,0.812,0.101,"leaders of both the republican and democratic parties agree that the pandemic that has shut down the nations economy and killed more than 23,000 people should be treated as though it were a war.i view it in a sense as a wartime president, president donald tru… [+14934 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:20:01,-0.6369,0.154,0.751,0.095,"leaders of both the republican and democratic parties agree that the pandemic that has shut down the nation’s economy and killed more than 23,000 people should be treated as though it were a war.
“i view it — in a sense as a wartime president,” president don… [+14822 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:11:53,0.5859,0.055,0.793,0.152,"the big - though surely not unexpected - news from the beginning of q1 bank earnings season were the massive pandemic panic-related reserve builds at jpmorgan (jpm-4.4%) and wells fargo (wfc-5.3%).
at the bank of dimon, the provision for credit losses in q1 … [+628 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:07:55,-0.25,0.097,0.853,0.051,"ubs analyst eric wasserstrom cut his rating on square inc. shares
 sq, 
 +1.71%
to neutral from buy tuesday, writing that ""deteriorating spending"" during the covid-19 outbreak represents a key risk to the company, especially since square is heavily reliant… [+847 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:03:54,0.25,0.0,0.956,0.044,"us stocks have risen sharply in early trading as investors take heart in better-than-expected chinese economic data and as state governors weigh up easing coronavirus lockdowns.
the s&amp;p 500 index was 2.3 per cent higher roughly an hour after the bell. th… [+1998 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:00:41,0.3612,0.0,0.943,0.057,"reuters: wall street rose more than 2per cent on tuesday on signs some economies would ease strict coronavirus-induced lockdowns, with investors also looking at quarterly earnings from jpmorgan and johnson &amp; johnson for clues on the business hit from the … [+3197 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:00:30,0.3612,0.093,0.785,0.123,"while some expect bitcoins (btc) upcoming reward halving to light a fire under the cryptocurrency, the options market seems worried about the event turning out to be a wet blanket. 
the biggest cryptocurrency by market value is set to undergo its third minin… [+5559 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:00:00,0.0,0.0,1.0,0.0,"westbrook, maine, april 14, 2020 /prnewswire/ -- idexx laboratories, inc. (nasdaq: idxx), a global leader in veterinary diagnostics, veterinary practice software and water microbiology testing, has scheduled the release of its 2020 first quarter financial res… [+1473 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 15:00:00,0.0,0.0,1.0,0.0,"westbrook, maine, april 14, 2020 /prnewswire/ -- idexx laboratories, inc. (nasdaq: idxx), a global leader in veterinary diagnostics, veterinary practice software and water microbiology testing, has scheduled the release of its 2020 first quarter financial res… [+1679 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 14:59:21,0.0516,0.097,0.802,0.101,"a new oil deal led by the united states, russia, and saudi arabia promises to withhold 9.7 million barrels of crude oil a day from global markets over 13 percent of the worlds daily supply. the deal is in response to cratering demand for gasoline as millions … [+1922 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 14:58:21,0.7506,0.0,0.868,0.132,"co-diagnostics inc. (nasdaq: codx) has been the toast of wall street after it went from penny stock status to a revered coronavirus testing stock. this was a relatively quick move, and its most recent u.s. food and drug administration (fda) approval is only s… [+2920 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 14:55:59,0.3109,0.028,0.895,0.077,"i'm not that surprised at the continuing rally. yes, prior extreme selloffs like 1987 and 2008 resulted only in 38.2% and/or 50.0% fibonacci retracement rebounds and, when we look at the s&amp;p 500 currently, we're right at that major resistance area:
but a… [+5226 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 14:52:16,-0.6597,0.135,0.865,0.0,"u.s. stock markets might be on fire as earnings season begins but wall street has not priced in a second wave of coronavirus, warns the ceo of one of the worlds largest independent financial advisory organizations.
the warning from devere groups chief execut… [+2255 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 14:52:16,-0.3182,0.07,0.93,0.0,"u.s. stock markets might be on fire as earnings season begins but wall street has not priced in a second wave of coronavirus, warns the ceo of one of the worlds largest independent financial advisory organizations.
get the full seth klarman series in pdf
ge… [+2507 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14 14:50:12,-0.7579,0.153,0.802,0.045,"us stocks climbed tuesday as wall street once again grew optimistic about the path of coronavirus crisis while grappling with grim earnings reports from major companies.
the dow jones industrial average jumped as many as 628.28 points, or 2.6 percent, in ear… [+1389 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
