Date,GOLDAMGBD228NLBM
1/2/14,1219.75
1/3/14,1232.25
1/6/14,1238
1/7/14,1237.5
1/8/14,1226.5
1/9/14,1226
1/10/14,1232.25
1/13/14,1246
1/14/14,1248.75
1/15/14,1238
1/16/14,1237.25
1/17/14,1241
1/20/14,1254.75
1/21/14,1247.75
1/22/14,1239.5
1/23/14,1244.25
1/24/14,1259.25
1/27/14,1270
1/28/14,1253.5
1/29/14,1254.75
1/30/14,1254
1/31/14,1246.5
2/3/14,1246.5
2/4/14,1253
2/5/14,1257
2/6/14,1258.5
2/7/14,1260
2/10/14,1273.5
2/11/14,1282.75
2/12/14,1286.5
2/13/14,1290.25
2/14/14,1308.5
2/17/14,1326
2/18/14,1314
2/19/14,1318.75
2/20/14,1313.75
2/21/14,1320.75
2/24/14,1333
2/25/14,1332.75
2/26/14,1340
2/27/14,1331
2/28/14,1327.75
3/3/14,1344.25
3/4/14,1339.5
3/5/14,1333.5
3/6/14,1334.25
3/7/14,1348.25
3/10/14,1334.25
3/11/14,1348
3/12/14,1355.75
3/13/14,1371
3/14/14,1370
3/17/14,1379
3/18/14,1362.5
3/19/14,1346
3/20/14,1327
3/21/14,1338.5
3/24/14,1322
3/25/14,1314.75
3/26/14,1314.5
3/27/14,1295
3/28/14,1295.75
3/31/14,1294
4/1/14,1286.5
4/2/14,1284
4/3/14,1287.25
4/4/14,1293.5
4/7/14,1299
4/8/14,1314.75
4/9/14,1309.75
4/10/14,1321.5
4/11/14,1317.25
4/14/14,1324.5
4/15/14,1311.5
4/16/14,1299
4/17/14,1299.25
4/18/14,.
4/21/14,.
4/22/14,1290.75
4/23/14,1283.5
4/24/14,1283.5
4/25/14,1294.25
4/28/14,1302
4/29/14,1289.75
4/30/14,1292
5/1/14,1283
5/2/14,1285
5/5/14,.
5/6/14,1308.5
5/7/14,1311
5/8/14,1291.25
5/9/14,1289
5/12/14,1292.75
5/13/14,1292.75
5/14/14,1300.25
5/15/14,1303.75
5/16/14,1293.75
5/19/14,1301
5/20/14,1291.5
5/21/14,1292
5/22/14,1294.5
5/23/14,1292
5/26/14,.
5/27/14,1283
5/28/14,1265.25
5/29/14,1254
5/30/14,1254
6/2/14,1244.75
6/3/14,1244.25
6/4/14,1246
6/5/14,1244.75
6/6/14,1254
6/9/14,1255
6/10/14,1253.5
6/11/14,1262.5
6/12/14,1261.75
6/13/14,1273
6/16/14,1281.75
6/17/14,1264.5
6/18/14,1269
6/19/14,1282
6/20/14,1310
6/23/14,1313.5
6/24/14,1323
6/25/14,1312
6/26/14,1311.5
6/27/14,1315.25
6/30/14,1313
7/1/14,1325.75
7/2/14,1326.75
7/3/14,1322.5
7/4/14,1321.5
7/7/14,1313.25
7/8/14,1318.25
7/9/14,1322.5
7/10/14,1343.25
7/11/14,1336.5
7/14/14,1321.25
7/15/14,1312
7/16/14,1297.5
7/17/14,1302.75
7/18/14,1310.25
7/21/14,1312.75
7/22/14,1307
7/23/14,1307.5
7/24/14,1300
7/25/14,1292.5
7/28/14,1305
7/29/14,1307.5
7/30/14,1297.5
7/31/14,1295
8/1/14,1284.5
8/4/14,1293.5
8/5/14,1292.75
8/6/14,1288.5
8/7/14,1302
8/8/14,1317.5
8/11/14,1308.25
8/12/14,1311
8/13/14,1309.25
8/14/14,1315
8/15/14,1313.6
8/18/14,1302.75
8/19/14,1300.25
8/20/14,1294.5
8/21/14,1280.5
8/22/14,1281
8/25/14,.
8/26/14,1286.5
8/27/14,1285
8/28/14,1288
8/29/14,1285.75
9/1/14,1287.25
9/2/14,1277.75
9/3/14,1268.5
9/4/14,1271
9/5/14,1264
9/8/14,1267.25
9/9/14,1256
9/10/14,1254.25
9/11/14,1247
9/12/14,1237.25
9/15/14,1234.75
9/16/14,1238.75
9/17/14,1236.5
9/18/14,1223
9/19/14,1222.5
9/22/14,1214
9/23/14,1225
9/24/14,1224
9/25/14,1210.5
9/26/14,1222.25
9/29/14,1217.75
9/30/14,1210
10/1/14,1208.5
10/2/14,1214.5
10/3/14,1207.5
10/6/14,1193.25
10/7/14,1207.5
10/8/14,1220
10/9/14,1227.5
10/10/14,1222.25
10/13/14,1228
10/14/14,1233
10/15/14,1223.5
10/16/14,1241
10/17/14,1238
10/20/14,1241
10/21/14,1251.75
10/22/14,1246.75
10/23/14,1240.5
10/24/14,1231.75
10/27/14,1230.5
10/28/14,1228.25
10/29/14,1228
10/30/14,1205.75
10/31/14,1173.25
11/3/14,1170.75
11/4/14,1169.25
11/5/14,1145.25
11/6/14,1144.5
11/7/14,1145
11/10/14,1172
11/11/14,1151.25
11/12/14,1163.25
11/13/14,1161
11/14/14,1154
11/17/14,1187
11/18/14,1202
11/19/14,1200.75
11/20/14,1194
11/21/14,1193.25
11/24/14,1196
11/25/14,1202.25
11/26/14,1195.75
11/27/14,1196.5
11/28/14,1184.5
12/1/14,1178.75
12/2/14,1197
12/3/14,1203.25
12/4/14,1204
12/5/14,1204.5
12/8/14,1195.25
12/9/14,1206.5
12/10/14,1228.25
12/11/14,1219.5
12/12/14,1223.5
12/15/14,1210.75
12/16/14,1199.25
12/17/14,1199
12/18/14,1210.75
12/19/14,1197.5
12/22/14,1195.25
12/23/14,1179.5
12/24/14,1177
12/25/14,.
12/26/14,.
12/29/14,1194
12/30/14,1186.5
12/31/14,1199.25
1/1/15,.
1/2/15,1184.25
1/5/15,1192
1/6/15,1211
1/7/15,1213.75
1/8/15,1206.5
1/9/15,1211.25
1/12/15,1222
1/13/15,1239
1/14/15,1228.75
1/15/15,1235.25
1/16/15,1258.25
1/19/15,1275.5
1/20/15,1292.25
1/21/15,1298
1/22/15,1287
1/23/15,1293.5
1/26/15,1282.75
1/27/15,1279
1/28/15,1287
1/29/15,1275.5
1/30/15,1263.5
2/2/15,1274.25
2/3/15,1281
2/4/15,1269.25
2/5/15,1263.75
2/6/15,1264
2/9/15,1242.25
2/10/15,1237.5
2/11/15,1235.5
2/12/15,1225.25
2/13/15,1225.75
2/16/15,1233.5
2/17/15,1221.75
2/18/15,1206.5
2/19/15,1217.75
2/20/15,1203.5
2/23/15,1193.5
2/24/15,1195.5
2/25/15,1206.5
2/26/15,1220
2/27/15,1205
3/2/15,1216.75
3/3/15,1207.75
3/4/15,1204.25
3/5/15,1199.75
3/6/15,1196.5
3/9/15,1173.75
3/10/15,1161
3/11/15,1158.75
3/12/15,1161.25
3/13/15,1156.5
3/16/15,1157
3/17/15,1154.75
3/18/15,1149
3/19/15,1164
3/20/15,1171.75
3/23/15,1181.4
3/24/15,1193.25
3/25/15,1192.55
3/26/15,1209.4
3/27/15,1198
3/30/15,1187.4
3/31/15,1179.25
4/1/15,1181.25
4/2/15,1201.5
4/3/15,.
4/6/15,.
4/7/15,1208.5
4/8/15,1211.1
4/9/15,1196
4/10/15,1201.9
4/13/15,1197.85
4/14/15,1191.45
4/15/15,1189.85
4/16/15,1204.6
4/17/15,1204.55
4/20/15,1203.25
4/21/15,1197.7
4/22/15,1202.4
4/23/15,1187.75
4/24/15,1192.15
4/27/15,1182.75
4/28/15,1201.4
4/29/15,1204.8
4/30/15,1204.3
5/1/15,1179
5/4/15,.
5/5/15,1187.4
5/6/15,1191.25
5/7/15,1183
5/8/15,1185.25
5/11/15,1184.75
5/12/15,1184.45
5/13/15,1193
5/14/15,1214.75
5/15/15,1216.3
5/18/15,1228.15
5/19/15,1219.65
5/20/15,1206.75
5/21/15,1209.6
5/22/15,1211
5/25/15,.
5/26/15,1194
5/27/15,1187.85
5/28/15,1189.45
5/29/15,1190.4
6/1/15,1187.3
6/2/15,1188.75
6/3/15,1186.6
6/4/15,1182.45
6/5/15,1175.9
6/8/15,1173.4
6/9/15,1181
6/10/15,1186
6/11/15,1180.5
6/12/15,1179.25
6/15/15,1178.25
6/16/15,1182.1
6/17/15,1178.5
6/18/15,1198
6/19/15,1198.15
6/22/15,1193.7
6/23/15,1183.35
6/24/15,1175.75
6/25/15,1174.6
6/26/15,1174.4
6/29/15,1176.5
6/30/15,1175
7/1/15,1171.7
7/2/15,1164.3
7/3/15,1168.25
7/6/15,1164.25
7/7/15,1166.25
7/8/15,1154.25
7/9/15,1162.1
7/10/15,1162.4
7/13/15,1154.95
7/14/15,1153.2
7/15/15,1154.75
7/16/15,1145.1
7/17/15,1143
7/20/15,1115
7/21/15,1108
7/22/15,1096.8
7/23/15,1101.65
7/24/15,1083.75
