Date,T10Y2Y
1/2/2014,2.61
1/3/2014,2.6
1/6/2014,2.58
1/7/2014,2.56
1/8/2014,2.58
1/9/2014,2.53
1/10/2014,2.49
1/13/2014,2.45
1/14/2014,2.49
1/15/2014,2.49
1/16/2014,2.45
1/17/2014,2.44
1/20/2014,.
1/21/2014,2.45
1/22/2014,2.43
1/23/2014,2.4
1/24/2014,2.38
1/27/2014,2.41
1/28/2014,2.39
1/29/2014,2.33
1/30/2014,2.36
1/31/2014,2.33
2/3/2014,2.31
2/4/2014,2.33
2/5/2014,2.38
2/6/2014,2.4
2/7/2014,2.41
2/10/2014,2.38
2/11/2014,2.4
2/12/2014,2.45
2/13/2014,2.41
2/14/2014,2.43
2/17/2014,.
2/18/2014,2.4
2/19/2014,2.4
2/20/2014,2.42
2/21/2014,2.4
2/24/2014,2.4
2/25/2014,2.36
2/26/2014,2.34
2/27/2014,2.32
2/28/2014,2.33
3/3/2014,2.28
3/4/2014,2.37
3/5/2014,2.37
3/6/2014,2.37
3/7/2014,2.42
3/10/2014,2.42
3/11/2014,2.4
3/12/2014,2.36
3/13/2014,2.32
3/14/2014,2.29
3/17/2014,2.32
3/18/2014,2.32
3/19/2014,2.31
3/20/2014,2.34
3/21/2014,2.3
3/24/2014,2.27
3/25/2014,2.28
3/26/2014,2.26
3/27/2014,2.24
3/28/2014,2.28
3/31/2014,2.29
4/1/2014,2.33
4/2/2014,2.35
4/3/2014,2.34
4/4/2014,2.31
4/7/2014,2.3
4/8/2014,2.29
4/9/2014,2.34
4/10/2014,2.28
4/11/2014,2.26
4/14/2014,2.28
4/15/2014,2.25
4/16/2014,2.26
4/17/2014,2.3
4/18/2014,.
4/21/2014,2.31
4/22/2014,2.28
4/23/2014,2.27
4/24/2014,2.27
4/25/2014,2.25
4/28/2014,2.26
4/29/2014,2.27
4/30/2014,2.25
5/1/2014,2.22
5/2/2014,2.18
5/5/2014,2.2
5/6/2014,2.18
5/7/2014,2.21
5/8/2014,2.21
5/9/2014,2.22
5/12/2014,2.25
5/13/2014,2.22
5/14/2014,2.15
5/15/2014,2.12
5/16/2014,2.14
5/19/2014,2.18
5/20/2014,2.17
5/21/2014,2.17
5/22/2014,2.19
5/23/2014,2.17
5/26/2014,.
5/27/2014,2.13
5/28/2014,2.07
5/29/2014,2.08
5/30/2014,2.11
6/2/2014,2.15
6/3/2014,2.19
6/4/2014,2.2
6/5/2014,2.19
6/6/2014,2.19
6/9/2014,2.19
6/10/2014,2.19
6/11/2014,2.21
6/12/2014,2.16
6/13/2014,2.15
6/16/2014,2.12
6/17/2014,2.15
6/18/2014,2.13
6/19/2014,2.16
6/20/2014,2.13
6/23/2014,2.15
6/24/2014,2.1
6/25/2014,2.09
6/26/2014,2.07
6/27/2014,2.09
6/30/2014,2.06
7/1/2014,2.11
7/2/2014,2.15
7/3/2014,2.13
7/4/2014,.
7/7/2014,2.11
7/8/2014,2.07
7/9/2014,2.06
7/10/2014,2.09
7/11/2014,2.05
7/14/2014,2.07
7/15/2014,2.07
7/16/2014,2.05
7/17/2014,2
7/18/2014,1.99
7/21/2014,1.98
7/22/2014,1.99
7/23/2014,1.98
7/24/2014,1.99
7/25/2014,1.95
7/28/2014,1.96
7/29/2014,1.93
7/30/2014,2.01
7/31/2014,2.05
8/1/2014,2.05
8/4/2014,2.04
8/5/2014,2.02
8/6/2014,2.01
8/7/2014,1.99
8/8/2014,1.99
8/11/2014,1.97
8/12/2014,2.01
8/13/2014,2
8/14/2014,1.98
8/15/2014,1.92
8/18/2014,1.95
8/19/2014,1.94
8/20/2014,1.94
8/21/2014,1.92
8/22/2014,1.87
8/25/2014,1.86
8/26/2014,1.87
8/27/2014,1.86
8/28/2014,1.84
8/29/2014,1.87
9/1/2014,.
9/2/2014,1.89
9/3/2014,1.89
9/4/2014,1.91
9/5/2014,1.94
9/8/2014,1.94
9/9/2014,1.94
9/10/2014,1.96
9/11/2014,1.96
9/12/2014,2.04
9/15/2014,2.02
9/16/2014,2.05
9/17/2014,2.03
9/18/2014,2.04
9/19/2014,2
9/22/2014,1.99
9/23/2014,1.97
9/24/2014,1.98
9/25/2014,1.96
9/26/2014,1.95
9/29/2014,1.92
9/30/2014,1.94
10/1/2014,1.89
10/2/2014,1.91
10/3/2014,1.88
10/6/2014,1.89
10/7/2014,1.84
10/8/2014,1.89
10/9/2014,1.88
10/10/2014,1.86
10/13/2014,.
10/14/2014,1.82
10/15/2014,1.81
10/16/2014,1.82
10/17/2014,1.83
10/20/2014,1.83
10/21/2014,1.85
10/22/2014,1.84
10/23/2014,1.88
10/24/2014,1.88
10/27/2014,1.86
10/28/2014,1.88
10/29/2014,1.86
10/30/2014,1.84
10/31/2014,1.85
11/3/2014,1.84
11/4/2014,1.83
11/5/2014,1.84
11/6/2014,1.85
11/7/2014,1.81
11/10/2014,1.83
11/11/2014,.
11/12/2014,1.82
11/13/2014,1.82
11/14/2014,1.78
11/17/2014,1.8
11/18/2014,1.79
11/19/2014,1.82
11/20/2014,1.81
11/21/2014,1.78
11/24/2014,1.77
11/25/2014,1.76
11/26/2014,1.71
11/27/2014,.
11/28/2014,1.71
12/1/2014,1.73
12/2/2014,1.73
12/3/2014,1.72
12/4/2014,1.7
12/5/2014,1.66
12/8/2014,1.62
12/9/2014,1.58
12/10/2014,1.59
12/11/2014,1.57
12/12/2014,1.54
12/15/2014,1.52
12/16/2014,1.49
12/17/2014,1.52
12/18/2014,1.55
12/19/2014,1.5
12/22/2014,1.46
12/23/2014,1.53
12/24/2014,1.54
12/25/2014,.
12/26/2014,1.52
12/29/2014,1.5
12/30/2014,1.51
12/31/2014,1.5
1/1/2015,.
1/2/2015,1.46
1/5/2015,1.36
1/6/2015,1.32
1/7/2015,1.34
1/8/2015,1.41
1/9/2015,1.39
1/12/2015,1.36
1/13/2015,1.37
1/14/2015,1.35
1/15/2015,1.33
1/16/2015,1.34
1/19/2015,.
1/20/2015,1.29
1/21/2015,1.34
1/22/2015,1.37
1/23/2015,1.29
1/26/2015,1.29
1/27/2015,1.29
1/28/2015,1.23
1/29/2015,1.26
1/30/2015,1.21
2/2/2015,1.19
2/3/2015,1.27
2/4/2015,1.29
2/5/2015,1.31
2/6/2015,1.3
2/9/2015,1.31
2/10/2015,1.34
2/11/2015,1.33
2/12/2015,1.38
2/13/2015,1.36
2/16/2015,.
2/17/2015,1.44
2/18/2015,1.45
2/19/2015,1.44
2/20/2015,1.46
2/23/2015,1.42
2/24/2015,1.39
2/25/2015,1.35
2/26/2015,1.37
2/27/2015,1.37
3/2/2015,1.42
3/3/2015,1.44
3/4/2015,1.46
3/5/2015,1.46
3/6/2015,1.51
3/9/2015,1.5
3/10/2015,1.44
3/11/2015,1.41
3/12/2015,1.43
3/13/2015,1.45
3/16/2015,1.44
3/17/2015,1.36
3/18/2015,1.36
3/19/2015,1.35
3/20/2015,1.33
3/23/2015,1.32
3/24/2015,1.3
3/25/2015,1.34
3/26/2015,1.4
3/27/2015,1.37
3/30/2015,1.38
3/31/2015,1.38
4/1/2015,1.32
4/2/2015,1.37
4/3/2015,1.36
4/6/2015,1.41
4/7/2015,1.37
4/8/2015,1.38
4/9/2015,1.41
4/10/2015,1.39
4/13/2015,1.4
4/14/2015,1.37
4/15/2015,1.4
4/16/2015,1.4
4/17/2015,1.36
4/20/2015,1.35
4/21/2015,1.37
4/22/2015,1.42
4/23/2015,1.41
4/24/2015,1.39
4/27/2015,1.4
4/28/2015,1.44
4/29/2015,1.5
4/30/2015,1.47
5/1/2015,1.52
5/4/2015,1.56
5/5/2015,1.57
5/6/2015,1.6
5/7/2015,1.55
5/8/2015,1.57
5/11/2015,1.66
5/12/2015,1.67
5/13/2015,1.68
5/14/2015,1.67
5/15/2015,1.59
5/18/2015,1.65
5/19/2015,1.64
5/20/2015,1.66
5/21/2015,1.59
5/22/2015,1.57
5/25/2015,.
5/26/2015,1.5
5/27/2015,1.5
5/28/2015,1.51
5/29/2015,1.51
6/1/2015,1.55
6/2/2015,1.63
6/3/2015,1.69
6/4/2015,1.65
6/5/2015,1.68
6/8/2015,1.69
6/9/2015,1.7
6/10/2015,1.75
6/11/2015,1.66
6/12/2015,1.65
6/15/2015,1.64
6/16/2015,1.61
6/17/2015,1.65
6/18/2015,1.69
6/19/2015,1.61
6/22/2015,1.69
6/23/2015,1.72
6/24/2015,1.7
6/25/2015,1.72
6/26/2015,1.77
6/29/2015,1.69
6/30/2015,1.71
7/1/2015,1.74
7/2/2015,1.76
7/3/2015,.
7/6/2015,1.7
7/7/2015,1.69
7/8/2015,1.67
7/9/2015,1.72
7/10/2015,1.77
7/13/2015,1.75
7/14/2015,1.75
7/15/2015,1.72
7/16/2015,1.69
7/17/2015,1.66
7/20/2015,1.67
7/21/2015,1.64
7/22/2015,1.58
7/23/2015,1.57
7/24/2015,1.57
7/27/2015,1.55
7/28/2015,1.57
7/29/2015,1.59
7/30/2015,1.56
7/31/2015,1.53
8/3/2015,1.48
8/4/2015,1.49
8/5/2015,1.55
8/6/2015,1.52
8/7/2015,1.45
8/10/2015,1.51
8/11/2015,1.47
8/12/2015,1.47
8/13/2015,1.47
8/14/2015,1.47
8/17/2015,1.44
8/18/2015,1.46
8/19/2015,1.45
8/20/2015,1.4
8/21/2015,1.41
8/24/2015,1.42
8/25/2015,1.45
8/26/2015,1.51
8/27/2015,1.5
8/28/2015,1.47
8/31/2015,1.47
9/1/2015,1.47
9/2/2015,1.48
9/3/2015,1.47
9/4/2015,1.42
9/7/2015,.
9/8/2015,1.46
9/9/2015,1.46
9/10/2015,1.48
9/11/2015,1.49
9/14/2015,1.45
9/15/2015,1.46
9/16/2015,1.48
9/17/2015,1.51
9/18/2015,1.44
9/21/2015,1.48
9/22/2015,1.45
9/23/2015,1.46
9/24/2015,1.46
9/25/2015,1.47
9/28/2015,1.43
9/29/2015,1.41
9/30/2015,1.42
10/1/2015,1.41
10/2/2015,1.41
10/5/2015,1.46
10/6/2015,1.44
10/7/2015,1.43
10/8/2015,1.47
10/9/2015,1.47
10/12/2015,.
10/13/2015,1.42
10/14/2015,1.42
10/15/2015,1.43
10/16/2015,1.43
10/19/2015,1.43
10/20/2015,1.42
10/21/2015,1.4
10/22/2015,1.43
10/23/2015,1.43
10/26/2015,1.41
10/27/2015,1.4
10/28/2015,1.37
10/29/2015,1.44
10/30/2015,1.41
11/2/2015,1.43
11/3/2015,1.43
11/4/2015,1.41
11/5/2015,1.41
11/6/2015,1.44
11/9/2015,1.47
11/10/2015,1.45
11/11/2015,.
11/12/2015,1.43
11/13/2015,1.42
11/16/2015,1.39
11/17/2015,1.39
11/18/2015,1.37
11/19/2015,1.33
11/20/2015,1.33
11/23/2015,1.31
11/24/2015,1.31
11/25/2015,1.3
11/26/2015,.
11/27/2015,1.3
11/30/2015,1.27
12/1/2015,1.24
12/2/2015,1.24
12/3/2015,1.37
12/4/2015,1.32
12/7/2015,1.29
12/8/2015,1.3
12/9/2015,1.29
12/10/2015,1.29
12/11/2015,1.25
12/14/2015,1.26
12/15/2015,1.3
12/16/2015,1.28
12/17/2015,1.24
12/18/2015,1.22
12/21/2015,1.24
12/22/2015,1.25
12/23/2015,1.26
12/24/2015,1.22
12/25/2015,.
12/28/2015,1.19
12/29/2015,1.23
12/30/2015,1.23
12/31/2015,1.21
1/1/2016,.
1/4/2016,1.22
