Date,T10Y3M
1/2/14,2.93
1/3/14,2.94
1/6/14,2.93
1/7/14,2.92
1/8/14,2.96
1/9/14,2.93
1/10/14,2.83
1/13/14,2.81
1/14/14,2.84
1/15/14,2.86
1/16/14,2.82
1/17/14,2.79
1/20/14,.
1/21/14,2.81
1/22/14,2.83
1/23/14,2.75
1/24/14,2.71
1/27/14,2.73
1/28/14,2.72
1/29/14,2.65
1/30/14,2.7
1/31/14,2.65
2/3/14,2.56
2/4/14,2.58
2/5/14,2.63
2/6/14,2.66
2/7/14,2.63
2/10/14,2.63
2/11/14,2.7
2/12/14,2.75
2/13/14,2.7
2/14/14,2.73
2/17/14,.
2/18/14,2.66
2/19/14,2.67
2/20/14,2.71
2/21/14,2.68
2/24/14,2.7
2/25/14,2.65
2/26/14,2.62
2/27/14,2.61
2/28/14,2.61
3/3/14,2.55
3/4/14,2.65
3/5/14,2.64
3/6/14,2.69
3/7/14,2.74
3/10/14,2.74
3/11/14,2.72
3/12/14,2.68
3/13/14,2.61
3/14/14,2.6
3/17/14,2.64
3/18/14,2.63
3/19/14,2.72
3/20/14,2.73
3/21/14,2.69
3/24/14,2.68
3/25/14,2.7
3/26/14,2.66
3/27/14,2.65
3/28/14,2.69
3/31/14,2.68
4/1/14,2.73
4/2/14,2.8
4/3/14,2.78
4/4/14,2.71
4/7/14,2.68
4/8/14,2.66
4/9/14,2.67
4/10/14,2.61
4/11/14,2.59
4/14/14,2.61
4/15/14,2.6
4/16/14,2.61
4/17/14,2.7
4/18/14,.
4/21/14,2.69
4/22/14,2.7
4/23/14,2.68
4/24/14,2.69
4/25/14,2.65
4/28/14,2.67
4/29/14,2.69
4/30/14,2.64
5/1/14,2.6
5/2/14,2.58
5/5/14,2.6
5/6/14,2.58
5/7/14,2.59
5/8/14,2.58
5/9/14,2.59
5/12/14,2.63
5/13/14,2.58
5/14/14,2.51
5/15/14,2.47
5/16/14,2.49
5/19/14,2.51
5/20/14,2.49
5/21/14,2.5
5/22/14,2.53
5/23/14,2.5
5/26/14,.
5/27/14,2.48
5/28/14,2.4
5/29/14,2.41
5/30/14,2.44
6/2/14,2.5
6/3/14,2.56
6/4/14,2.57
6/5/14,2.55
6/6/14,2.56
6/9/14,2.58
6/10/14,2.6
6/11/14,2.61
6/12/14,2.54
6/13/14,2.56
6/16/14,2.57
6/17/14,2.62
6/18/14,2.58
6/19/14,2.62
6/20/14,2.61
6/23/14,2.6
6/24/14,2.56
6/25/14,2.54
6/26/14,2.49
6/27/14,2.51
6/30/14,2.49
7/1/14,2.56
7/2/14,2.62
7/3/14,2.64
7/4/14,.
7/7/14,2.59
7/8/14,2.55
7/9/14,2.54
7/10/14,2.53
7/11/14,2.51
7/14/14,2.52
7/15/14,2.54
7/16/14,2.53
7/17/14,2.45
