Date,TEDSPREAD
1/2/2014,18.2007
1/3/2014,17.3937
1/6/2014,19.372
1/7/2014,20.6611
1/8/2014,20.9981
1/9/2014,20.6161
1/10/2014,20.6161
1/13/2014,21.3551
1/14/2014,20.6331
1/15/2014,20.2361
1/16/2014,20.5931
1/17/2014,20.6181
1/20/2014,20.6681
1/21/2014,20.1111
1/22/2014,20.6681
1/23/2014,20.3111
1/24/2014,18.972
1/27/2014,18.5399
1/28/2014,19.047
1/29/2014,19.504
1/30/2014,22.2391
1/31/2014,21.6321
2/3/2014,21.0251
2/4/2014,18.5749
2/5/2014,18.0578
2/6/2014,17.0937
2/7/2014,15.2723
2/10/2014,17.8079
2/11/2014,19.097
2/12/2014,19.047
2/13/2014,21.5571
2/14/2014,22.5711
2/17/2014,22.4961
2/18/2014,21.9341
2/19/2014,18.797
2/20/2014,18.997
2/21/2014,19.9361
2/24/2014,19.8861
2/25/2014,19.304
2/26/2014,19.274
2/27/2014,20.0611
2/28/2014,19.002
3/3/2014,19.002
3/4/2014,18.972
3/5/2014,18.3699
3/6/2014,18.947
3/7/2014,19.002
3/10/2014,19.8861
3/11/2014,19.274
3/12/2014,19.354
3/13/2014,19.279
3/14/2014,18.922
3/17/2014,18.882
3/18/2014,18.922
3/19/2014,18.3149
3/20/2014,18.2899
3/21/2014,18.722
3/24/2014,18.947
3/25/2014,18.872
3/26/2014,19.279
3/27/2014,20.3181
3/28/2014,19.7861
3/31/2014,20.0181
4/1/2014,19.2611
4/2/2014,21.4891
4/3/2014,21.5141
4/4/2014,20.9321
4/7/2014,20.9071
4/8/2014,20.1951
4/9/2014,19.7131
4/10/2014,19.6631
4/11/2014,19.0961
4/14/2014,19.8231
4/15/2014,19.5931
4/16/2014,20.2501
4/17/2014,20.5571
4/18/2014,20.5571
4/21/2014,20.0501
4/22/2014,20.3251
4/23/2014,21.3541
4/24/2014,22.278
4/25/2014,21.6461
4/28/2014,21.978
4/29/2014,21.5211
4/30/2014,19.8001
5/1/2014,20.2571
5/2/2014,20.7641
5/5/2014,20.7641
5/6/2014,20.4571
5/7/2014,19.8601
5/8/2014,19.8001
5/9/2014,20.3821
5/12/2014,20.4821
5/13/2014,20.3571
5/14/2014,20.5071
5/15/2014,20.5571
5/16/2014,21.3391
5/19/2014,20.6671
5/20/2014,20.2751
5/21/2014,19.6931
5/22/2014,19.6731
5/23/2014,19.8931
5/26/2014,19.8931
5/27/2014,20.4501
5/28/2014,19.7181
5/29/2014,19.6931
5/30/2014,19.6981
6/2/2014,20.1801
6/3/2014,19.6981
6/4/2014,19.9081
6/5/2014,20.0181
6/6/2014,19.9181
6/9/2014,20.0131
6/10/2014,19.9881
6/11/2014,19.4311
6/12/2014,19.5111
6/13/2014,20.1681
6/16/2014,20.5251
6/17/2014,20.0581
6/18/2014,21.5791
6/19/2014,21.9461
6/20/2014,22.0461
6/23/2014,22.753
6/24/2014,21.3321
6/25/2014,21.3571
6/26/2014,20.8751
6/27/2014,21.4321
6/30/2014,21.0421
7/1/2014,21.1521
7/2/2014,21.9391
7/3/2014,22.703
7/4/2014,22.803
7/7/2014,22.3961
7/8/2014,21.3321
7/9/2014,21.3821
7/10/2014,21.8391
7/11/2014,21.8391
7/14/2014,21.7391
7/15/2014,21.7891
7/16/2014,21.8391
7/17/2014,22.3461
7/18/2014,22.1461
7/21/2014,21.7891
7/22/2014,21.2321
7/23/2014,21.3821
7/24/2014,21.4821
7/25/2014,20.8751
7/28/2014,21.0751
7/29/2014,22.1891
7/30/2014,20.9181
7/31/2014,21.8821
8/1/2014,21.7821
8/4/2014,22.1891
8/5/2014,21.6821
8/6/2014,21.3921
8/7/2014,21.2821
8/8/2014,21.4821
8/11/2014,20.8451
8/12/2014,20.7751
8/13/2014,20.3181
8/14/2014,20.5751
8/15/2014,20.6751
8/18/2014,20.6751
8/19/2014,20.9051
8/20/2014,21.4621
8/21/2014,22.4761
8/22/2014,22.3191
8/25/2014,22.3191
8/26/2014,21.7821
8/27/2014,20.9251
8/28/2014,20.8251
8/29/2014,21.3321
9/1/2014,21.3321
9/2/2014,21.7891
9/3/2014,21.3821
9/4/2014,21.2821
9/5/2014,20.6951
9/8/2014,21.3321
9/9/2014,22.4461
9/10/2014,21.9391
9/11/2014,22.3961
9/12/2014,22.4461
9/15/2014,22.4461
9/16/2014,22.4261
9/17/2014,21.8891
9/18/2014,22.803
9/19/2014,22.2961
9/22/2014,23.5589
9/23/2014,22.3961
9/24/2014,22.4961
9/25/2014,22.853
9/26/2014,22.2961
9/29/2014,23.003
9/30/2014,21.9891
10/1/2014,22.2461
10/2/2014,22.1061
10/3/2014,22.653
10/6/2014,22.753
10/7/2014,22.603
10/8/2014,22.9089
10/9/2014,22.403
10/10/2014,22.493
10/13/2014,22.553
10/14/2014,22.403
10/15/2014,21.2891
10/16/2014,20.5401
10/17/2014,21.1071
10/20/2014,21.1821
10/21/2014,22.0461
10/22/2014,21.7591
10/23/2014,22.853
10/24/2014,22.803
10/27/2014,22.753
10/28/2014,22.2461
10/29/2014,22.2461
10/30/2014,22.728
10/31/2014,22.703
11/3/2014,22.728
11/4/2014,21.1571
11/5/2014,21.1571
11/6/2014,21.1321
11/7/2014,21.2321
11/10/2014,21.2821
11/11/2014,21.7991
11/12/2014,22.3061
11/13/2014,22.703
11/14/2014,22.703
11/17/2014,22.678
11/18/2014,22.1711
11/19/2014,23.1089
11/20/2014,23.2889
11/21/2014,22.778
11/24/2014,22.928
11/25/2014,21.5321
11/26/2014,23.053
11/27/2014,22.853
11/28/2014,22.3461
12/1/2014,22.4461
12/2/2014,22.4461
12/3/2014,22.978
12/4/2014,22.0141
12/5/2014,22.5461
12/8/2014,23.253
12/9/2014,21.3501
12/10/2014,21.4551
12/11/2014,22.0321
12/12/2014,22.7641
12/15/2014,23.753
12/16/2014,21.2181
