Date,SPY Close,Daily Returns,Cumulative Returns,VIX Close,SPX 1M 25DP Vol BVOL INDEX,SPX 1M 25DC Vol BVOL INDEX,SPX 1M 100 Vol BVOL INDEX,P/C Ratio,P/C Spread,P/ATM Ratio,P/ATM Spread,ATM/C Ratio,ATM/C Spread
2014-01-03,159.0563507080078,-0.00016392301047440938,-0.00016392301047440938,13.760000228881836,11.9795,8.9814,10.1398,1.33,3.0,1.18,1.84,1.13,1.16
2014-01-06,158.59539794921875,-0.0028980468666433,-0.0030614948205508474,13.550000190734863,13.9644,10.3354,11.6945,1.35,3.63,1.19,2.27,1.13,1.36
2014-01-07,159.56947326660156,0.0061418889197195625,0.0030615907380526775,12.920000076293945,12.7524,9.3597,10.6061,1.36,3.39,1.2,2.15,1.13,1.25
2014-01-08,159.6042022705078,0.00021764190352513424,0.0032798989720137506,12.869999885559082,12.5946,9.16,10.4178,1.37,3.43,1.21,2.18,1.14,1.26
2014-01-09,159.7085723876953,0.0006539308846680303,0.003935974683918264,12.890000343322754,12.5365,9.0315,10.2926,1.39,3.51,1.22,2.24,1.14,1.26
2014-01-10,160.14344787597656,0.00272293141050417,0.006669623483520182,12.140000343322754,12.6749,8.8244,10.1815,1.44,3.85,1.24,2.49,1.15,1.36
2014-01-13,158.01271057128906,-0.013305179406013834,-0.006724296459512447,13.279999732971191,12.5694,8.8717,10.1482,1.42,3.7,1.24,2.42,1.14,1.28
2014-01-14,159.7346954345703,0.010897761686736951,0.0041001854468978305,12.279999732971191,12.545,8.9831,10.1748,1.4,3.56,1.23,2.37,1.13,1.19
2014-01-15,160.59567260742188,0.0053900448522421485,0.00951233048260125,12.279999732971191,13.6496,9.613999999999999,11.1179,1.42,4.04,1.23,2.53,1.16,1.5
2014-01-16,160.38697814941406,-0.0012995023752474522,0.008200466811297602,12.529999732971191,17.8629,12.0033,14.3459,1.49,5.86,1.25,3.52,1.2,2.34
2014-01-17,159.7085723876953,-0.004229805745743054,0.003935974683918264,12.4399995803833,17.5834,12.423,14.4005,1.42,5.16,1.22,3.18,1.16,1.98
2014-01-21,160.17820739746094,0.0029405748404385257,0.006888123552484915,12.869999885559082,16.2053,11.7952,13.4066,1.37,4.41,1.21,2.8,1.14,1.61
2014-01-22,160.2825927734375,0.0006516827580518303,0.0075442951818911475,12.84000015258789,18.0486,12.9829,14.8997,1.39,5.07,1.21,3.15,1.15,1.92
