,Biden Compound,Biden Negative,Biden Neutral,Biden Positive,Biden Text,Blankfein Compound,Blankfein Negative,Blankfein Neutral,Blankfein Positive,Blankfein Text,Cramer Compound,Cramer Negative,Cramer Neutral,Cramer Positive,Cramer Text,Date,Dimon Compound,Dimon Negative,Dimon Neutral,Dimon Positive,Dimon Text,FED Compound,FED Negative,FED Neutral,FED Positive,FED Text,Fink Compound,Fink Negative,Fink Neutral,Fink Positive,Fink Text,Lead economists Compound,Lead economists Negative,Lead economists Neutral,Lead economists Positive,Lead economists Text,Powell Compound,Powell Negative,Powell Neutral,Powell Positive,Powell Text,SP500 Compound,SP500 Negative,SP500 Neutral,SP500 Positive,SP500 Text,Solomon Compound,Solomon Negative,Solomon Neutral,Solomon Positive,Solomon Text,buffett Compound,buffett Negative,buffett Neutral,buffett Positive,buffett Text
0,,,,,,,,,,,,,,,,2021-03-20 16:29:57,,,,,,,,,,,,,,,,,,,,,,,,,,0.7717,0.0,0.749,0.251,"getty
marketing advocates of creative concepts can peacefully coexist with their number crunching teammates when the right funnel strategy is deployed.
thats the perspective from the global consult… [+4601 chars]",,,,,,,,,,
1,,,,,,,,,,,,,,,,2021-03-20 16:14:02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,"the latest 13f reporting period has come and gone, and insider monkey is again at the forefront when it comes to making use of this gold mine of data. insider monkey finished processing 887 13f filin… [+6294 chars]",,,,,,,,,,
2,,,,,,,,,,,,,,,,2021-03-20 16:13:45,,,,,,,,,,,,,,,,,,,,,,,,,,0.7783,0.0,0.794,0.206,"if you can see through these misperceptions about assets, you can be a better investor.
midas?
getty
fallacy #1: price equals wealth
say you bought a $500,000 suburban house a while back and now … [+6841 chars]",,,,,,,,,,
3,,,,,,,,,,,,,,,,2021-03-20 16:13:19,,,,,,,,,,,,,,,,,,,,,,,,,,0.6369,0.0,0.903,0.097,with the fourth-quarter round of 13f filings behind us it is time to take a look at the stocks in which some of the best money managers in the world preferred to invest or sell heading into the first… [+6341 chars],,,,,,,,,,
4,,,,,,,,,,,,,,,,2021-03-20 16:12:41,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,the insider monkey team has completed processing the quarterly 13f filings for the december quarter submitted by the hedge funds and other money managers included in our extensive database. most hedg… [+6455 chars],,,,,,,,,,
5,,,,,,,,,,,,,,,,2021-03-20 16:05:23,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,"in this article we will take a look at the 10 cheap stocks to buy now. you can skip our detailed analysis of the current market situation and go directly to 5 cheap stocks to buy now.
in the midst o… [+9110 chars]",,,,,,,,,,
6,,,,,,,,,,,,,,,,2021-03-20 16:01:32,,,,,,,,,,,,,,,,,,,,,,,,,,0.7783,0.0,0.848,0.152,"in this article we will take a look at the 10 best non-tech stocks to buy now. you can skip our detailed analysis of these stocks' outlook for 2021 and some of the major growth catalysts, and go dire… [+8046 chars]",,,,,,,,,,
7,,,,,,,,,,,,,,,,2021-03-20 15:56:47,,,,,,,,,,,,,,,,,,,,,,,,,,0.2023,0.0,0.951,0.049,"in this article we will discuss cathie wood's latest stock picks and analyze her latest youtube talk. to skip our discussion, go directly to cathie wood's top 5 stocks picks from her q4 portfolio.
c… [+12691 chars]",,,,,,,,,,
8,,,,,,,,,,,,,,,,2021-03-20 15:30:03,,,,,,,,,,,,,,,,,,,,,,,,,,0.7845,0.0,0.802,0.198,"a month has gone by since the last earnings report for tc energy (trp). shares have added about 1.6% in that time frame, outperforming the s&amp;p 500.
will the recent positive trend continue leadin… [+4834 chars]",,,,,,,,,,
9,,,,,,,,,,,,,,,,2021-03-20 15:30:03,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5859,0.149,0.796,0.055,"it has been about a month since the last earnings report for arista networks (anet). shares have lost about 7.7% in that time frame, underperforming the s&amp;p 500.
will the recent negative trend c… [+4849 chars]",,,,,,,,,,
