Date,High,Low,SPY Close
1/2/2014,184.0700073,182.4799957,161.6335754
1/3/2014,183.6000061,182.6300049,161.6070404
1/6/2014,183.5599976,182.0800018,161.1387024
1/7/2014,183.7899933,182.9499969,162.1283875
1/8/2014,183.8300018,182.8899994,162.1637878
1/9/2014,184.1300049,182.8000031,162.2697754
1/10/2014,184.2200012,183.0099945,162.7115784
1/13/2014,184.1799927,181.3399963,160.5466919
1/14/2014,183.7700043,181.9499969,162.2962952
1/15/2014,184.9400024,183.7100067,163.1710663
1/16/2014,184.6600037,183.8300018,162.9589844
1/17/2014,184.4499969,183.3200073,162.2697754
1/21/2014,184.7700043,183.0500031,162.7469482
1/22/2014,184.5700073,183.9100037,162.8529816
1/23/2014,183.3999939,181.8200073,161.5187225
1/24/2014,181.6600037,178.8300018,158.0725708
1/27/2014,179.5200043,177.1199951,157.2949219
1/28/2014,179.3000031,178.1199951,158.2315826
1/29/2014,178.5500031,176.8800049,156.7117462
1/30/2014,179.8099976,178.2599945,158.3730011
1/31/2014,179.2899933,176.9199982,157.4451294
2/3/2014,178.3699951,173.8300018,153.9018097
2/4/2014,175.8399963,174.1100006,154.9797821
2/5/2014,175.5599976,173.7100067,154.7854309
2/6/2014,177.4799957,175.2200012,156.8265991
2/7/2014,179.8699951,177.7299957,158.7706146
2/10/2014,180.0700073,179.2100067,159.0621796
2/11/2014,182.4400024,180.0399933,160.8029633
2/12/2014,182.8300018,181.7100067,160.8824921
2/13/2014,183.1999969,180.8300018,161.7130585
2/14/2014,184.3600006,182.6699982,162.6055756
2/18/2014,184.4900055,183.6499939,162.7999573
2/19/2014,184.9499969,182.8699951,161.7219543
2/20/2014,184.5200043,182.6000061,162.676239
2/21/2014,184.8899994,183.8000031,162.4906921
2/24/2014,186.1499939,184.1999969,163.3920135
2/25/2014,185.5899963,184.2299957,163.3301392
2/26/2014,185.6000061,184.3300018,163.3389893
2/27/2014,185.8699951,184.3699951,164.1960907
2/28/2014,187.1499939,185.0500031,164.6113739
3/3/2014,185.4499969,183.75,163.4537811
3/4/2014,187.9799957,186.75,165.7513123
3/5/2014,188.0700073,187.4499969,165.9014893
3/6/2014,188.6100006,187.7799988,166.2814636
3/7/2014,188.9600067,187.4299927,166.3521423
3/10/2014,188.2299957,187.0800018,166.2637787
3/11/2014,188.7100067,186.8000031,165.4419556
3/12/2014,187.3500061,185.8999939,165.4861603
3/13/2014,187.9900055,184.6600037,163.6305542
3/14/2014,185.8000031,184.4400024,163.1710663
3/17/2014,186.7700043,185.5099945,164.6467133
3/18/2014,187.9100037,186.5099945,165.8219604
3/19/2014,187.9400024,185.4700012,164.9383087
3/20/2014,187.8899994,185.9199982,165.9014893
3/21/2014,189.0200043,186.0299988,165.2580566
3/24/2014,187.0700073,184.6199951,164.5746155
3/25/2014,186.9400024,185.2700043,165.3556519
3/26/2014,187.3399963,184.9199982,164.1663666
3/27/2014,185.3399963,183.8999939,163.8202667
3/28/2014,186.4199982,185,164.6278992
3/31/2014,187.3000031,185.5200043,165.9769745
4/1/2014,188.3600006,187,167.0774536
4/2/2014,189.1300049,188.1399994,167.6366272
4/3/2014,189.2200012,188.0500031,167.4147186
4/4/2014,189.6999969,186.1000061,165.4355316
4/7/2014,186.2599945,183.9600067,163.6072235
4/8/2014,185.3999939,183.5899963,164.2817993
4/9/2014,187.1499939,185.0599976,166.0479431
4/10/2014,187.1699982,182.9299927,162.5599365
4/11/2014,183.4199982,181.3099976,161.0955505
4/14/2014,183.3699951,181.4400024,162.3646545
4/15/2014,184.3300018,181.5099945,163.4829712
4/16/2014,186.1399994,184.6499939,165.1959076
4/17/2014,186.9100037,185.5599976,165.426651
4/21/2014,187.1000061,186.2100067,166.0035553
4/22/2014,188.3999939,187.1300049,166.7579651
4/23/2014,187.9199982,187.3000031,166.3674164
4/24/2014,188.3899994,186.9299927,166.7046967
4/25/2014,187.3300018,185.8699951,165.3379059
4/28/2014,187.6900024,184.9600067,165.8615723
4/29/2014,188.0399933,187.0800018,166.633667
4/30/2014,188.5,187.1799927,167.1307678
5/1/2014,188.8399963,187.7299957,167.1484833
5/2/2014,189.1399994,187.7799988,166.9088135
5/5/2014,188.5500031,186.6199951,167.2283478
5/6/2014,188.1300049,186.7400055,165.7728119
5/7/2014,187.9700012,186.0099945,166.7490692
5/8/2014,189.0500031,187.0800018,166.5716095
5/9/2014,188.0399933,186.8300018,166.8200531
5/12/2014,189.8800049,188,168.4442596
5/13/2014,190.4199982,189.7700043,168.5951843
5/14/2014,189.8800049,188.7899933,167.7963562
5/15/2014,188.7200012,186.4799957,166.3230743
5/16/2014,188.1300049,186.7200012,166.8999786
5/19/2014,188.8899994,187.5200043,167.5123749
5/20/2014,188.6699982,187.0700073,166.4562073
5/21/2014,189.2200012,188.0599976,167.8585052
