,Date,SP500 Compound,SP500 Negative,SP500 Neutral,SP500 Positive,SP500 Text,Cramer Compound,Cramer Negative,Cramer Neutral,Cramer Positive,Cramer Text,Trump Compound,Trump Negative,Trump Neutral,Trump Positive,Trump Text,Dimon Compound,Dimon Negative,Dimon Neutral,Dimon Positive,Dimon Text,Blankfein Compound,Blankfein Negative,Blankfein Neutral,Blankfein Positive,Blankfein Text,Solomon Compound,Solomon Negative,Solomon Neutral,Solomon Positive,Solomon Text,Corbat Compound,Corbat Negative,Corbat Neutral,Corbat Positive,Corbat Text,Lead economists Compound,Lead economists Negative,Lead economists Neutral,Lead economists Positive,Lead economists Text,FED Compound,FED Negative,FED Neutral,FED Positive,FED Text,Fink Compound,Fink Negative,Fink Neutral,Fink Positive,Fink Text
0,2021-03-18 17:52:23,0.2732,0.088,0.769,0.143,"photo by jetcityimage/istock editorial via getty images
it looks like the pain is over for retail chain five below (nasdaq:five). after effectively going dormant for several weeks in 2020, a result … [+4354 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-03-18 17:45:00,0.5574,0.059,0.782,0.159,"* 10-yr u.s. yield tops 1.75% as investors digest fed
* s&amp;p 500 drops, tech-heavy nasdaq slumps
* msci global index little changed as europes stoxx gains
* dollar recovers from post-fed drop, … [+2895 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-03-18 17:42:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-03-18 17:42:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-03-18 17:39:37,-0.7189,0.18,0.82,0.0,"photo by mark makela/getty images news via getty images
the fed gave the equity market exactly what it wanted, lower for as long as possible. unfortunately, the bond market doesn't seem as pleased, … [+6400 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-03-18 17:37:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-03-18 17:35:02,0.0258,0.069,0.859,0.072,"the dow has gained 137.39 points, or 0.4%, to 33,152.76, trouncing the 
 s&amp;p 500,
 which has fallen 0.5%, and the nasdaq composite, which is off 1.5%. the 
 invesco qqq
 exchange-traded fund … [+1929 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-03-18 17:34:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-03-18 17:33:35,-0.2263,0.06,0.94,0.0,"photo by balkanscat/istock editorial via getty images
elevator pitch
 i maintain my neutral rating on miniso group holding limited (mnso).
 this represents an update of my initiation article for m… [+9666 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-03-18 17:32:08,0.4588,0.0,0.906,0.094,"accenture plc (nyse:acn) q2 2021 earnings conference call march 18, 2021 8:00 am et

company participants

angie park - managing director and head, investor relations

julie sweet - chief executiv… [+52895 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
